Date Time,Open,High,Low,Close,Volume
2016-12-21 00:00:00,10.25,10.3,10.1,10.15, 14038
2016-12-22 00:00:00,10.15,10.2,9.95,9.95, 20758
2016-12-23 00:00:00,9.93,10.0,9.9,9.91, 9227
2016-12-26 00:00:00,9.92,10.0,9.85,9.85, 6867
2016-12-27 00:00:00,9.9,9.9,9.56,9.7, 20474
2016-12-28 00:00:00,9.75,9.99,9.73,9.9, 16307
2016-12-29 00:00:00,9.95,9.95,9.85,9.89, 7133
2016-12-30 00:00:00,9.99,9.99,9.89,9.9, 9984
2017-01-03 00:00:00,9.99,10.2,9.95,10.05, 15452
2017-01-04 00:00:00,10.15,10.15,9.99,10.0, 8890
2017-01-05 00:00:00,10.1,10.25,10.0,10.05, 30290
2017-01-06 00:00:00,10.1,10.15,10.0,10.05, 7745
2017-01-09 00:00:00,10.1,10.25,10.0,10.05, 19620
2017-01-10 00:00:00,10.1,10.2,10.0,10.1, 16778
2017-01-11 00:00:00,10.15,10.25,10.1,10.15, 12341
2017-01-12 00:00:00,10.2,10.45,10.15,10.25, 33109
2017-01-13 00:00:00,10.3,10.3,10.15,10.2, 11385
2017-01-16 00:00:00,10.2,10.25,9.99,10.0, 17832
2017-01-17 00:00:00,10.0,10.2,10.0,10.1, 9339
2017-01-18 00:00:00,10.15,10.2,10.05,10.1, 10029
2017-01-19 00:00:00,10.1,10.15,10.05,10.05, 8683
2017-01-20 00:00:00,10.05,10.4,10.05,10.35, 45655
2017-01-23 00:00:00,10.35,10.5,10.3,10.4, 27902
2017-01-24 00:00:00,10.4,11.35,10.4,11.2, 123253
2017-02-02 00:00:00,11.65,12.3,11.45,12.1, 150188
2017-02-03 00:00:00,12.25,12.5,11.8,12.5, 139680
2017-02-06 00:00:00,12.4,13.3,12.4,13.0, 157837
2017-02-07 00:00:00,13.0,13.2,12.65,12.7, 103298
2017-02-08 00:00:00,12.7,12.95,12.6,12.65, 62212
2017-02-09 00:00:00,12.7,13.3,12.65,12.75, 100157
2017-02-10 00:00:00,12.75,13.1,12.4,12.45, 125872
2017-02-13 00:00:00,12.85,13.05,12.65,12.7, 67669
2017-02-14 00:00:00,12.75,12.8,12.1,12.15, 68760
2017-02-15 00:00:00,12.25,12.4,12.15,12.25, 33743
2017-02-16 00:00:00,12.25,12.4,12.0,12.0, 38459
2017-02-17 00:00:00,12.0,12.0,11.6,12.0, 59575
2017-02-18 00:00:00,12.2,12.5,12.1,12.45, 51922
2017-02-20 00:00:00,12.45,12.45,12.0,12.1, 39724
2017-02-21 00:00:00,12.15,12.15,11.9,12.0, 23217
2017-02-22 00:00:00,12.1,12.25,12.05,12.05, 19046
2017-02-23 00:00:00,12.1,12.2,12.05,12.05, 20788
2017-02-24 00:00:00,12.2,12.45,12.15,12.15, 39168
2017-03-01 00:00:00,12.1,12.15,11.9,11.95, 25727
2017-03-02 00:00:00,12.05,12.1,11.6,11.7, 36484
2017-03-03 00:00:00,11.7,11.9,11.65,11.9, 16609
2017-03-06 00:00:00,12.0,12.1,11.9,11.95, 14946
2017-03-07 00:00:00,12.0,12.85,12.0,12.65, 118177
2017-03-08 00:00:00,12.7,12.9,12.55,12.75, 53315
2017-03-09 00:00:00,12.85,12.85,12.35,12.4, 48012
2017-03-10 00:00:00,12.3,12.3,11.95,12.1, 37195
2017-03-13 00:00:00,12.2,12.25,11.85,11.9, 28631
2017-03-14 00:00:00,12.0,12.1,11.8,12.05, 19325
2017-03-15 00:00:00,12.0,12.1,11.85,11.9, 14360
2017-03-16 00:00:00,12.1,12.15,11.85,11.95, 22105
2017-03-17 00:00:00,11.95,12.05,11.9,12.0, 12935
2017-03-20 00:00:00,12.05,12.35,12.0,12.15, 29450
2017-03-21 00:00:00,12.15,12.2,11.95,12.05, 12562
2017-03-22 00:00:00,11.95,12.0,11.8,11.9, 17855
2017-03-23 00:00:00,11.9,12.15,11.8,11.95, 26558
2017-03-24 00:00:00,12.0,12.1,11.9,11.9, 12992
2017-03-27 00:00:00,11.9,11.95,11.75,11.75, 13139
2017-03-28 00:00:00,11.8,11.85,11.2,11.35, 46355
2017-03-29 00:00:00,11.45,11.5,11.35,11.45, 13225
2017-03-30 00:00:00,11.5,11.7,11.5,11.6, 13940
2017-03-31 00:00:00,11.6,11.75,11.45,11.6, 13625
2017-04-05 00:00:00,11.7,11.8,11.55,11.6, 15758
